"","ID","Language","Glottocode","Cognate_Set","Form","Concept","Concept_ID","Source","Source_Page","Comment","Macro_Region"
"26",26,"Aw = Awetí","awet1244","FISH-2","pi<U+027E>a<U+0294><U+0268>t","FISH",227,"Galucio et al. 2015",251,"","South America"
"27",27,"Gv = Gavião","gavi1246","FISH-1","bolíp","FISH",227,"Galucio et al. 2015",251,"","South America"
"28",28,"Ju = Jurúna","juru1256","FISH-2","pi<U+02A7>a","FISH",227,"Galucio et al. 2015",251,"","South America"
"29",29,"Ka = Káro","karo1305","FISH-1","ip","FISH",227,"Galucio et al. 2015",251,"","South America"
"30",30,"Kt = Karitiána","kari1311","FISH-1","<U+0294>ip","FISH",227,"Galucio et al. 2015",251,"Form marked as Ma in source; Treated as Mw","South America"
"31",31,"Ku = Kuruáya","kuru1309","FISH-1","potip","FISH",227,"Galucio et al. 2015",251,"","South America"
"32",32,"Ma = Makuráp","maku1278","FISH-1","potkap","FISH",227,"Galucio et al. 2015",251,"","South America"
"33",33,"Me = Mekéns","saki1248","FISH-2","k<U+0268>jpit","FISH",227,"Galucio et al. 2015",251,"","South America"
"34",34,"Mu = Mundurukú","mund1330","FISH-3","a<U+0283>imá","FISH",227,"Galucio et al. 2015",251,"","South America"
"35",35,"Mw = Mawé","sate1243","FISH-2","pi(i)<U+027E>a","FISH",227,"Galucio et al. 2015",251,"","South America"
"36",36,"Pg = Paraguayan Guaraní","para1311","FISH-2","pi<U+027E>a","FISH",227,"Galucio et al. 2015",251,"","South America"
"37",37,"Pt = Parintintín","tenh1241","FISH-2","pi<U+027E>a","FISH",227,"Galucio et al. 2015",251,"Form marked as Pa in source; Treated as Pt","South America"
"38",38,"Pu = Puruborá","puru1264","FISH-1","<U+0294><U+0268>p<U+0294>aj","FISH",227,"Galucio et al. 2015",251,"","South America"
"39",39,"Sa = Salamãy","sala1273","FISH-1","bolíp","FISH",227,"Galucio et al. 2015",251,"","South America"
"40",40,"Su = Suruí","suru1262","FISH-1","mo<U+027E>íp ~ mo<U+027E>íw-aa","FISH",227,"Galucio et al. 2015",251,"","South America"
"41",41,"Ta = Tapirapé","tapi1254","FISH-2","hipi<U+027E>ã","FISH",227,"Galucio et al. 2015",251,"","South America"
"42",42,"Tu = Tuparí","tupa1250","FISH-1","ipot","FISH",227,"Galucio et al. 2015",251,"","South America"
"43",43,"Uk = Urubú-Ka’apór","urub1250","FISH-2","pi<U+027E>a","FISH",227,"Galucio et al. 2015",251,"","South America"
"44",44,"Wa = Wayoró","wayo1238","FISH-1","ißojt","FISH",227,"Galucio et al. 2015",251,"","South America"
"45",45,"Xi = Xipáya","xipa1240","FISH-2","<U+0283>ita","FISH",227,"Galucio et al. 2015",251,"","South America"
"46",46,"Zo = Zoró","zoro1244","FISH-1","bolíp","FISH",227,"Galucio et al. 2015",251,"","South America"
"47",47,"Ak = Akuntsú","akun1241","WOMAN-2","a<U+027E>ami<U+027E>a","WOMAN",962,"Galucio et al. 2015",251,"","South America"
"48",48,"Ar = Aruá","arua1261","WOMAN-3","ßã<U+02A3>et","WOMAN",962,"Galucio et al. 2015",251,"","South America"
"49",49,"Aw = Awetí","awet1244","WOMAN-1","kujã","WOMAN",962,"Galucio et al. 2015",251,"","South America"
"50",50,"Gv = Gavião","gavi1246","WOMAN-3","ßã<U+02A3>et","WOMAN",962,"Galucio et al. 2015",251,"","South America"
"51",51,"Ju = Jurúna","juru1256","WOMAN-4","ií<U+02A4>a","WOMAN",962,"Galucio et al. 2015",251,"","South America"
"52",52,"Ka = Káro","karo1305","WOMAN-9","ma<U+0294>p<U+0259>j","WOMAN",962,"Galucio et al. 2015",251,"","South America"
"53",53,"Kt = Karitiána","kari1311","WOMAN-10","ej pat","WOMAN",962,"Galucio et al. 2015",251,"","South America"
"54",54,"Ku = Kuruáya","kuru1309","WOMAN-8","ao","WOMAN",962,"Galucio et al. 2015",251,"","South America"
"55",55,"Ma = Makuráp","maku1278","WOMAN-2","a<U+027E>ãpijã","WOMAN",962,"Galucio et al. 2015",251,"","South America"
"56",56,"Me = Mekéns","saki1248","WOMAN-2","a<U+027E>ami<U+027E>a","WOMAN",962,"Galucio et al. 2015",251,"","South America"
"57",57,"Mu = Mundurukú","mund1330","WOMAN-6","ajá<U+02A7>át","WOMAN",962,"Galucio et al. 2015",251,"","South America"
"58",58,"Mw = Mawé","sate1243","WOMAN-5","ha<U+027E><U+0268>po<U+027E>ia","WOMAN",962,"Galucio et al. 2015",251,"","South America"
"59",59,"Pg = Paraguayan Guaraní","para1311","WOMAN-1","ku<U+0272>a","WOMAN",962,"Galucio et al. 2015",251,"","South America"
"60",60,"Pt = Parintintín","tenh1241","WOMAN-1","ku<U+0272>a","WOMAN",962,"Galucio et al. 2015",251,"","South America"
"61",61,"Pu = Puruborá","puru1264","WOMAN-1","pakoja","WOMAN",962,"Galucio et al. 2015",251,"","South America"
"62",62,"Sa = Salamãy","sala1273","WOMAN-3","ßãzet","WOMAN",962,"Galucio et al. 2015",251,"","South America"
"63",63,"Su = Suruí","suru1262","WOMAN-3","ßá<U+026C>et","WOMAN",962,"Galucio et al. 2015",251,"","South America"
"64",64,"Ta = Tapirapé","tapi1254","WOMAN-1","kotj<U+0268>","WOMAN",962,"Galucio et al. 2015",251,"","South America"
"65",65,"Tu = Tuparí","tupa1250","WOMAN-2","a<U+027E>ami<U+027E>ã","WOMAN",962,"Galucio et al. 2015",251,"","South America"
"66",66,"Uk = Urubú-Ka’apór","urub1250","WOMAN-1","kujã","WOMAN",962,"Galucio et al. 2015",251,"","South America"
"67",67,"Wa = Wayoró","wayo1238","WOMAN-2","ã<U+027E>ãmi<U+027E>ã","WOMAN",962,"Galucio et al. 2015",251,"","South America"
"68",68,"Xi = Xipáya","xipa1240","WOMAN-4","si<U+02A4>a","WOMAN",962,"Galucio et al. 2015",251,"","South America"
"69",69,"Zo = Zoró","zoro1244","WOMAN-3","ßãzet","WOMAN",962,"Galucio et al. 2015",251,"","South America"
"70",70,"Ak = Akuntsú","akun1241","LONG-3","pe<U+027E>ek","LONG",1203,"Galucio et al. 2015",251,"","South America"
"71",71,"Ar = Aruá","arua1261","LONG-2","atíít","LONG",1203,"Galucio et al. 2015",251,"","South America"
"72",72,"Aw = Awetí","awet1244","LONG-1","puku","LONG",1203,"Galucio et al. 2015",251,"","South America"
"73",73,"Gv = Gavião","gavi1246","LONG-2","-atóò","LONG",1203,"Galucio et al. 2015",251,"","South America"
"74",74,"Ju = Jurúna","juru1256","LONG-4","anáúhu ~ anáuh<U+0268>h<U+0268>","LONG",1203,"Galucio et al. 2015",251,"","South America"
"75",75,"Ka = Káro","karo1305","LONG-11","cá<U+027E>a-<U+027E>em","LONG",1203,"Galucio et al. 2015",251,"","South America"
"76",76,"Kt = Karitiána","kari1311","LONG-5","ho<U+027E>owa","LONG",1203,"Galucio et al. 2015",251,"","South America"
"77",77,"Ku = Kuruáya","kuru1309","LONG-7","tabi<U+014B>-<U+0294>õm","LONG",1203,"Galucio et al. 2015",251,"","South America"
"78",78,"Ma = Makuráp","maku1278","LONG-9","kã<U+027E>ã<U+014B>","LONG",1203,"Galucio et al. 2015",251,"","South America"
"79",79,"Me = Mekéns","saki1248","LONG-3","pe<U+027E>ek","LONG",1203,"Galucio et al. 2015",251,"","South America"
"80",80,"Mu = Mundurukú","mund1330","LONG-2","pé<U+027E>én ~ bé<U+027E>én","LONG",1203,"Galucio et al. 2015",251,"","South America"
"81",81,"Mw = Mawé","sate1243","LONG-6","<U+0294><U+0268>wop","LONG",1203,"Galucio et al. 2015",251,"","South America"
"82",82,"Pg = Paraguayan Guaraní","para1311","LONG-1","puku","LONG",1203,"Galucio et al. 2015",251,"","South America"
"83",83,"Pt = Parintintín","tenh1241","LONG-1","puku","LONG",1203,"Galucio et al. 2015",251,"","South America"
"84",84,"Pu = Puruborá","puru1264","LONG-5","t<U+0268>wa  ","LONG",1203,"Galucio et al. 2015",251,"","South America"
"85",85,"Sa = Salamãy","sala1273","LONG-2","-ato ~ -atóó","LONG",1203,"Galucio et al. 2015",251,"","South America"
"86",86,"Su = Suruí","suru1262","LONG-2","-ató-a","LONG",1203,"Galucio et al. 2015",251,"","South America"
"87",87,"Ta = Tapirapé","tapi1254","LONG-1","poko","LONG",1203,"Galucio et al. 2015",251,"","South America"
"88",88,"Tu = Tuparí","tupa1250","LONG-10","tããn","LONG",1203,"Galucio et al. 2015",251,"","South America"
"89",89,"Uk = Urubú-Ka’apór","urub1250","LONG-1","puku","LONG",1203,"Galucio et al. 2015",251,"","South America"
"90",90,"Wa = Wayoró","wayo1238","LONG-8","kãm","LONG",1203,"Galucio et al. 2015",251,"","South America"
"91",91,"Xi = Xipáya","xipa1240","LONG-4","nauhu","LONG",1203,"Galucio et al. 2015",251,"","South America"
"92",92,"Zo = Zoró","zoro1244","LONG-2","-atóò","LONG",1203,"Galucio et al. 2015",251,"","South America"
